Quarters,Events,Prizes
Q4-2020,First Strike North America,"100,000 "
Q4-2020,First Strike Brazil,"38,786.91 "
Q4-2020,JBL Quantum Cup,"50,000 "
Q1-2021,VCT 2021: North America Stage 1 Challengers 1,"50,000 "
Q1-2021,VCT 2021: North America Stage 1 Challengers 2,"50,000 "
Q1-2021,VCT 2021: North America Stage 1 Challengers 3,"50,000 "
Q1-2021,VCT 2021: North America Stage 1 Masters,"150,000 "
Q1-2021,VCT 2021: Brazil Stage 1 Masters,"45,538.03 "
Q2-2021,VCT 2021: North America Stage 2 Challengers 1,"50,000 "
Q2-2021,VCT 2021: North America Stage 2 Challengers 2,"50,000 "
Q2-2021,VCT 2021: North America Stage 2 Challengers Finals,"100,000 "
Q3-2021,VCT 2021: North America Stage 3 Challengers 1,"50,000 "
Q3-2021,VCT 2021: North America Stage 3 Challengers 2,"50,000 "
Q3-2021,VCT 2021: North America Stage 3 Challengers Playoffs,"100,000 "
Q4-2021,VCT 2021: South America Last Chance Qualifier,"46,705.85 "
Q4-2021,VCT 2021: North America Last Chance Qualifier,"100,000 "
Q1-2022,VCT 2022: North America Stage 1 Challengers,"200,000 "
Q1-2022,VCT 2022: Brazil Stage 1 Challengers,"85,385.38 "
Q1-2022,VCT 2022: LATAM Stage 1 Challengers Playoffs,"50,000 "
Q2-2022,VCT 2022: North America Stage 2 Challengers,"200,000 "
Q2-2022,VCT 2022: LATAM Stage 2 Challengers Playoffs,"50,000 "
Q2-2022,VCT 2022: Brazil Stage 2 Challengers,"77,247.34 "
Q3-2022,VCT 2022: South America Last Chance Qualifier,"50,232.46 "
Q3-2022,VCT 2022: North America Last Chance Qualifier,Champions
Q1-2023,VALORANT Challengers 2023: Brazil Split 1,"76,713.23 "
Q1-2023,VALORANT Challengers 2023: North America Split 1,"80,000 "
Q1-2023,VALORANT Challengers 2023: North America Face Off,"30,000 "
Q1-2023,VCT 2023: LOCK//IN São Paulo,"500,000 "
Q2-2023,VALORANT Challengers 2023: North America Split 2,"80,000 "
Q2-2023,VALORANT Challengers 2023: Brazil Split 2,"81,681.86 "
Q2-2023,VALORANT Challengers 2023: North America Challengers Playoffs,"50,000 "
Q2-2023,VCT 2023: Americas League,"250,000 "
Q2-2023,VCT 2023: Ascension Americas,"100,000 "
Q3-2023,VALORANT Champions 2023,"2,250,000 "
Q4-2023,VCT 2023: Game Changers Championship,"500,000 "
Q4-2023,Superdome 2023 - Colombia,"30,000 "
Q1-2024,VALORANT Challengers 2024 Brazil: Split 1,"77,947.59 "
Q2-2024,VALORANT Challengers 2024 Brazil: Split 2,"76,389.18 "
Q2-2024,VALORANT Challengers 2024: Latin America,"70,000 "
