date,value
2020-06-01,106000
2020-07-01,56400
2020-08-01,64800
2020-09-01,74400
2020-10-01,78700
2020-11-01,84500
2020-12-01,81500
2021-01-01,81900
2021-02-01,101000
2021-03-01,97200
2021-04-01,97300
2021-05-01,102000
2021-06-01,77000
2021-07-01,78700
2021-08-01,67000
2021-09-01,85400
2021-10-01,94400
2021-11-01,111000
2021-12-01,61100
2022-01-01,53900
2022-02-01,100000
2022-03-01,75300
2022-04-01,81800
2022-05-01,126000
2022-06-01,78300
2022-07-01,68300
2022-08-01,57000
2022-09-01,80600
2022-10-01,73700
2022-11-01,121000
2022-12-01,41800
2023-01-01,52300
2023-02-01,82000
2023-03-01,88900
2023-04-01,113000
2023-05-01,119000
2023-06-01,62100
2023-07-01,81100
2023-08-01,84900
2023-09-01,62700
2023-10-01,86700
2023-11-01,61000
2023-12-01,50000
2024-01-01,70900
2024-02-01,95100
