date,value
2020-06-01,1900
2020-07-01,1600
2020-08-01,1400
2020-09-01,1400
2020-10-01,1500
2020-11-01,1800
2020-12-01,1900
2021-01-01,2200
2021-02-01,2200
2021-03-01,2200
2021-04-01,2000
2021-05-01,1900
2021-06-01,1600
2021-07-01,1500
2021-08-01,1500
2021-09-01,1400
2021-10-01,1300
2021-11-01,1300
2021-12-01,1200
2022-01-01,1500
2022-02-01,1400
2022-03-01,1200
2022-04-01,1100
2022-05-01,1100
2022-06-01,1200
2022-07-01,1100
2022-08-01,1200
2022-09-01,1100
2022-10-01,981
2022-11-01,911
2022-12-01,890
2023-01-01,1100
2023-02-01,1200
2023-03-01,1300
2023-04-01,1600
2023-05-01,1400
2023-06-01,1300
2023-07-01,1300
2023-08-01,1300
2023-09-01,961
2023-10-01,1800
2023-11-01,1300
2023-12-01,1100
2024-01-01,1200
2024-02-01,1400
