date,value
2020-06-01,5500
2020-07-01,4900
2020-08-01,4100
2020-09-01,3000
2020-10-01,2600
2020-11-01,2800
2020-12-01,2900
2021-01-01,4000
2021-02-01,4400
2021-03-01,4700
2021-04-01,4800
2021-05-01,4400
2021-06-01,4500
2021-07-01,4400
2021-08-01,4100
2021-09-01,4100
2021-10-01,3600
2021-11-01,3700
2021-12-01,3800
2022-01-01,5300
2022-02-01,5100
2022-03-01,4900
2022-04-01,5100
2022-05-01,5000
2022-06-01,5000
2022-07-01,5500
2022-08-01,5600
2022-09-01,5400
2022-10-01,4400
2022-11-01,3800
2022-12-01,3600
2023-01-01,4900
2023-02-01,4600
2023-03-01,5100
2023-04-01,5100
2023-05-01,4800
2023-06-01,4600
2023-07-01,5000
2023-08-01,4800
2023-09-01,4300
2023-10-01,3600
2023-11-01,3700
2023-12-01,3400
2024-01-01,4500
2024-02-01,4400
