date,value,,
2020-06-01,848501,,
2020-07-01,5108718,,
2020-08-01,8070836,,
2020-09-01,7862431,,
2020-10-01,7604459,,
2020-11-01,7783927,,
2020-12-01,8173874,,
2021-01-01,9448398,,
2021-02-01,10031124,,
2021-03-01,11499588,,
2021-04-01,12049180,,
2021-05-01,12397937,,
2021-06-01,12910747,,
2021-07-01,13401923,,
2021-08-01,13653646,,
2021-09-01,13572116,,
2021-10-01,13332838,,
2021-11-01,13488086,,
2021-12-01,14711166,,
2022-01-01,16318114,,
2022-02-01,15687713,,
2022-03-01,16586648,,
2022-04-01,17657569,,
2022-05-01,18043518,,
2022-06-01,18019226,,
2022-07-01,18934222,,
2022-08-01,19419090,,
2022-09-01,19386494,,
2022-10-01,18951712,,
2022-11-01,17306366,,
2022-12-01,17720852,,
2023-01-01,18886523,,
2023-02-01,18296396,,
2023-03-01,20124255,,
2023-04-01,20100075,,
2023-05-01,19835109,,
2023-06-01,20066829,,
2023-07-01,20414751,,
2023-08-01,19894500,,
2023-09-01,18499056,,
2023-10-01,17276900,,
2023-11-01,16466371,,
2023-12-01,17120199,,
2024-01-01,18318806,,
2024-02-01,18029094,,
2024-03-01,19584691,,
2024-04-01,19464141,,
2024-05-01,19129657,,
2024-06-01,13481436,,
