Quarters,Events,Prizes
Q4-2020,Intel Extreme Masters XV - Beijing Online: Europe,"150,000 "
Q4-2020,Flashpoint Season 2,"1,000,000 "
Q4-2020,BLAST Premier: Fall 2020,"425,000 "
Q4-2020,Intel Extreme Masters XV - Global Challenge,"500,000 "
Q4-2020,DreamHack Masters Winter 2020: Europe,"150,000 "
Q4-2020,BLAST Premier: Fall 2020 Regular Season,"150,000 "
Q4-2020,ESL Pro League Season 12: Europe,"450,000 "
Q4-2020,Intel Extreme XV - New York Online: Europe,"140,000 "
Q4-2020,Intel Extreme XV - New York Online: CIS,"50,000 "
Q4-2020,DreamHack Open Fall 2020,"115,000 "
Q4-2020,BLAST Premier: Fall 2020 Showdown,"150,000 "
Q4-2020,DreamHack Open November 2020,"115,000 "
Q1-2021,cs_summit 7,"200,000 "
Q1-2021,BLAST Premier: Global Final 2020,"1,000,000 "
Q1-2021,BLAST Premier: Spring Groups 2021,"150,000 "
Q1-2021,Intel Extreme Masters XV - World Championship,"1,000,000 "
Q1-2021,ESL Pro League Season 13,"750,000 "
Q1-2021,DreamHack Open January 2021: Europe,"70,000 "
Q1-2021,Snow Sweet Snow #1,"100,000 "
Q1-2021,Snow Sweet Snow #2,"100,000 "
Q1-2021,Pinnacle Cup I,"100,000 "
Q1-2021,Snow Sweet Snow #3,"100,000 "
Q2-2021,BLAST Premier: Spring Showdown 2021,"162,500 "
Q2-2021,Funspark ULTI 2020,"300,000 "
Q2-2021,Spring Sweet Spring #1,"100,000 "
Q2-2021,Flashpoint Season 3,"50,000 "
Q2-2021,EPIC CIS League Spring 2021,"40,000 "
Q2-2021,DreamHack Masters Spring 2021,"250,000 "
Q2-2021,Intel Extreme Masters XVI - Summer,"250,000 "
Q2-2021,BLAST Premier: Spring Finals 2021,"425,000 "
Q2-2021,Spring Sweet Spring #2,"100,000 "
Q3-2021,Spring Sweet Spring #3,"100,000 "
Q3-2021,Elisa Invitational Summer 2021,"100,000 "
Q3-2021,StarLadder CIS RMR 2021,"100,000 "
Q3-2021,Pinnacle Cup II,"100,000 "
Q3-2021,Pinnacle Fall Series #1,"100,000 "
Q3-2021,Intel Extreme Masters XVI - Fall: CIS,"50,000 "
